Date,Portfolio,Actual_Returns,LSTM_Predicted_Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Historical_ES_Breach,LSTM_ES_Breach,MonteCarlo_ES_Breach
2024-07-17 00:00:00,S&P 500 (Market-Cap-Weight),-0.013060823645629115,-0.0039255253566240975,-0.01877572578068897,-0.027722035459769655,-0.015392136548139108,-0.01855433315442651,-0.010772552100760521,-0.014616309607357457,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-18 00:00:00,S&P 500 (Market-Cap-Weight),-0.00845394204760207,-0.004786456161755949,-0.01877572578068897,-0.027722035459769655,-0.017535851900858893,-0.0213058719672228,-0.011471354511286712,-0.015113032850822057,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19 00:00:00,S&P 500 (Market-Cap-Weight),-0.006875249391242821,-0.005623965736232147,-0.01877572578068897,-0.027722035459769655,-0.01910466880974569,-0.023086838962290242,-0.012402574296477968,-0.01577392199856636,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22 00:00:00,S&P 500 (Market-Cap-Weight),0.011308653487963085,-0.005433074614982153,-0.01877572578068897,-0.027722035459769655,-0.020655619174553358,-0.024876745853764103,-0.011684843705094605,-0.014525115357667422,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23 00:00:00,S&P 500 (Market-Cap-Weight),-0.0011382062947012286,-0.004634090488106015,-0.01877572578068897,-0.027722035459769655,-0.018022214161789327,-0.02195040942219174,-0.012182854997209806,-0.014636972544688773,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24 00:00:00,S&P 500 (Market-Cap-Weight),-0.025579380281989847,-0.004107714213214482,-0.018822815891784698,-0.02785495954527942,-0.017104203404027504,-0.02053094835832533,-0.010860012254999836,-0.014147927486719319,1.0,1.0,1.0,0.0,1.0,1.0
2024-07-25 00:00:00,S&P 500 (Market-Cap-Weight),-0.006624765403089914,-0.006338450259754796,-0.018822815891784698,-0.02785495954527942,-0.023658447175042303,-0.02778625628107494,-0.013168511786985979,-0.016645263812782574,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-26 00:00:00,S&P 500 (Market-Cap-Weight),0.009897252810662052,-0.006041358976657168,-0.018822815891784698,-0.02785495954527942,-0.026305904350535834,-0.030595195433606528,-0.012893056001746362,-0.015167129970061246,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29 00:00:00,S&P 500 (Market-Cap-Weight),0.002119309332615187,-0.005277413948354482,-0.018822815891784698,-0.02785495954527942,-0.023873283550136598,-0.028045720629775464,-0.013123644767149978,-0.016317944334281936,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30 00:00:00,S&P 500 (Market-Cap-Weight),-0.006382831240592477,-0.003984567041511145,-0.018822815891784698,-0.02785495954527942,-0.020784066428437036,-0.025251467633268264,-0.011222035087587798,-0.014514326396610086,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31 00:00:00,S&P 500 (Market-Cap-Weight),0.01738723143720504,-0.003655117490108882,-0.018822815891784698,-0.02785495954527942,-0.01940001474416928,-0.023447454514260474,-0.011554640814755828,-0.015016480851448133,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01 00:00:00,S&P 500 (Market-Cap-Weight),-0.01525174194435424,-0.0028604765019402192,-0.018822815891784698,-0.02785495954527942,-0.015527415413538744,-0.019288568157188542,-0.011983329199019193,-0.015688523627825867,0.0,0.0,1.0,0.0,0.0,0.0
2024-08-02 00:00:00,S&P 500 (Market-Cap-Weight),-0.0197645342032298,-0.0037050989404036195,-0.018862287892813343,-0.027873186378240558,-0.018729338732712528,-0.02192840275125751,-0.012485875273170617,-0.015430481173282273,1.0,1.0,1.0,0.0,0.0,1.0
2024-08-05 00:00:00,S&P 500 (Market-Cap-Weight),-0.0323959513318831,-0.004718290901546708,-0.019159941707563,-0.028138263858653378,-0.023271409186267644,-0.027455349242601467,-0.012447263575951571,-0.015581766798293682,1.0,1.0,1.0,1.0,1.0,1.0
2024-08-06 00:00:00,S&P 500 (Market-Cap-Weight),0.00864516846508474,-0.007440116633759617,-0.019159941707563,-0.028138263858653378,-0.03877447516302809,-0.04410697141109919,-0.01219784509394421,-0.015255433213040152,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07 00:00:00,S&P 500 (Market-Cap-Weight),-0.00829415240618885,-0.0059777049547617075,-0.019159941707563,-0.028138263858653378,-0.03595020721727511,-0.04422763905144942,-0.012558113796370975,-0.014917621900138534,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08 00:00:00,S&P 500 (Market-Cap-Weight),0.022837335353590033,-0.005546376822989007,-0.019159941707563,-0.028138263858653378,-0.04209944587505655,-0.05246974658281144,-0.0123757376084613,-0.01623383410115065,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09 00:00:00,S&P 500 (Market-Cap-Weight),0.004968675988142502,-0.0033120175207232263,-0.019159941707563,-0.028138263858653378,-0.03372561716844822,-0.04076372582673028,-0.012487021838662057,-0.016182166004743145,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12 00:00:00,S&P 500 (Market-Cap-Weight),0.0005844176276490765,-0.002121231390961769,-0.019159941707563,-0.028138263858653378,-0.0262960356383945,-0.0312224551169081,-0.01328362077524869,-0.01707793920877586,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13 00:00:00,S&P 500 (Market-Cap-Weight),0.017330243794402882,-0.00026934987822272024,-0.019159941707563,-0.028138263858653378,-0.021434122222473137,-0.02881301969428194,-0.012939143059263278,-0.017139409664902485,0.0,0.0,0.0,0.0,0.0,0.0
