Portfolio: PCA Portfolio 4

Portfolio Statistics:
Annual_Return                 0.163399
Annual_Volatility             0.108206
Sharpe_Ratio                  1.510075
Historical_VaR_Breach_Rate    0.793651
LSTM_VaR_Breach_Rate          4.761905
MonteCarlo_VaR_Breach_Rate    2.380952
Skewness                     -0.109665
Excess_Kurtosis               0.431822
Max_Drawdown                 -0.022813
VaR_95_Historical            -0.009798

Risk Metrics Summary:
Historical_VaR_Breach_Rate              0.793651
LSTM_VaR_Breach_Rate                    4.761905
MonteCarlo_VaR_Breach_Rate              2.380952
Avg_Historical_VaR                     -0.015960
Avg_Historical_ES                      -0.022658
Avg_LSTM_VaR                           -0.012309
Avg_LSTM_ES                            -0.015619
Avg_MonteCarlo_VaR                     -0.011284
Avg_MonteCarlo_ES                      -0.014301
LSTM_Prediction_MAE                     0.005986
LSTM_Prediction_MSE                     0.000063
LSTM_Prediction_Std                     0.002896
Actual_Returns_Std                      0.006816
LSTM_VaR_Coverage_Ratio                 0.952381
MonteCarlo_VaR_Coverage_Ratio           0.476190
Historical_VaR_Coverage_Ratio           0.158730
LSTM_ES_vs_Historical_ES_Ratio          0.689345
MonteCarlo_ES_vs_Historical_ES_Ratio    0.631171

Portfolio Composition:
       Stock    Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
DGX      DGX  0.001965       2.832254e-05                    -8.621327e-05           0.196518
USB      USB  0.001955       3.429853e-05                    -8.467398e-05           0.195486
AXON    AXON  0.001947       5.935280e-05                    -9.565325e-05           0.194651
MOH      MOH  0.001911       4.808321e-05                    -8.975005e-05           0.191056
CRM      CRM  0.001901       4.312993e-05                    -8.441503e-05           0.190058
AKAM    AKAM  0.001888       4.174468e-05                    -9.216169e-05           0.188822
IP        IP  0.001877       3.584057e-05                    -8.057708e-05           0.187706
PNC      PNC  0.001868       3.339083e-05                    -7.768477e-05           0.186765
MTB      MTB  0.001866       3.543647e-05                    -7.888441e-05           0.186620
XEL      XEL  0.001862       2.285322e-05                    -7.611497e-05           0.186176
PM        PM  0.001861       2.522178e-05                    -8.399796e-05           0.186118
PTC      PTC  0.001860       3.856518e-05                    -8.281777e-05           0.186031
DG        DG  0.001854       3.390034e-05                    -8.856589e-05           0.185396
EMR      EMR  0.001847       3.108172e-05                    -7.801077e-05           0.184727
SO        SO  0.001845       2.228666e-05                    -8.162867e-05           0.184452
AMD      AMD  0.001833       6.386505e-05                    -9.493177e-05           0.183254
SWKS    SWKS  0.001825       4.680654e-05                    -8.469317e-05           0.182538
F          F  0.001814       3.914041e-05                    -8.148744e-05           0.181440
MMC      MMC  0.001814       2.257549e-05                    -7.515181e-05           0.181366
CME      CME  0.001801       2.819867e-05                    -7.816064e-05           0.180090
STLD    STLD  0.001787       4.273145e-05                    -7.689130e-05           0.178715
QCOM    QCOM  0.001783       3.744792e-05                    -8.518373e-05           0.178296
DFS      DFS  0.001777       4.027407e-05                    -8.453047e-05           0.177672
CPRT    CPRT  0.001770       2.829003e-05                    -7.951216e-05           0.177015
ETN      ETN  0.001769       3.130659e-05                    -7.460834e-05           0.176934
NSC      NSC  0.001768       3.015185e-05                    -7.529672e-05           0.176759
RSG      RSG  0.001764       2.118731e-05                    -7.433175e-05           0.176375
SMCI    SMCI  0.001761       6.556962e-05                    -9.579737e-05           0.176077
FE        FE  0.001751       2.638726e-05                    -7.623756e-05           0.175111
