Portfolio: PCA Portfolio 3

Portfolio Statistics:
Annual_Return                                                          0.126868
Annual_Volatility                                                      0.182804
Sharpe_Ratio                                                           0.694012
Historical_VaR_Breach_Rate                                             4.481793
LSTM_VaR_Breach_Rate                                                   1.120448
Skewness                                                              -0.938706
Excess_Kurtosis                                                       15.996688
Max_Drawdown                                                          -0.145093
VaR_95_Historical                                                     -0.017468
Annual_Turnover               [0.014278014439476358, 0.016909961005680457, 0...
Mean_Explained_Variance                                                0.034447
Weight_Stability                                                            NaN
Max_Single_Stock_Exposure                                                   NaN

Risk Metrics Summary:
Historical_VaR_Breach_Rate        4.481793
LSTM_VaR_Breach_Rate              1.120448
Avg_Historical_VaR               -0.012110
Avg_Historical_ES                -0.014409
Avg_LSTM_VaR                     -0.016671
Avg_LSTM_ES                      -0.020120
LSTM_Prediction_MAE               0.006667
LSTM_Prediction_MSE               0.000067
LSTM_Prediction_Std               0.002407
Actual_Returns_Std                0.007171
LSTM_VaR_Coverage_Ratio           0.224090
Historical_VaR_Coverage_Ratio     0.896359
LSTM_ES_vs_Historical_ES_Ratio    1.396388

Portfolio Composition:
       Stock        Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
BR        BR  1.918465e-03       2.690668e-05                    -7.942420e-05           0.191847
EA        EA  1.908201e-03       3.786184e-05                    -8.071120e-05           0.190820
TSN      TSN  1.904229e-03       3.379040e-05                    -8.607949e-05           0.190423
CLX      CLX  1.894841e-03       2.510604e-05                    -8.233977e-05           0.189484
GPC      GPC  1.891710e-03       2.985241e-05                    -8.287750e-05           0.189171
NKE      NKE  1.887419e-03       3.319095e-05                    -8.300399e-05           0.188742
GOOGL  GOOGL  1.877704e-03       3.207245e-05                    -8.036831e-05           0.187770
RL        RL  1.862885e-03       4.170418e-05                    -8.643105e-05           0.186288
EXPD    EXPD  1.854956e-03       2.840329e-05                    -7.671810e-05           0.185496
VZ        VZ  1.850694e-03       2.144544e-05                    -6.955768e-05           0.185069
ADP      ADP  1.832530e-03       2.518317e-05                    -7.813082e-05           0.183253
SNA      SNA  1.829260e-03       2.997962e-05                    -7.927348e-05           0.182926
NEM      NEM  1.824327e-03       4.066072e-05                    -7.994160e-05           0.182433
PH        PH  1.813232e-03       3.434771e-05                    -7.785998e-05           0.181323
RSG      RSG  1.812409e-03       2.177182e-05                    -7.638240e-05           0.181241
BMY      BMY  1.806330e-03       2.659615e-05                    -8.376247e-05           0.180633
ROK      ROK  1.789492e-03       3.425169e-05                    -7.718054e-05           0.178949
LULU    LULU  1.785729e-03       4.604239e-05                    -8.563156e-05           0.178573
GL        GL  1.782107e-03       3.580314e-05                    -8.255904e-05           0.178211
GOOG    GOOG  1.758392e-03       3.005940e-05                    -7.532758e-05           0.175839
ETN      ETN  1.751830e-03       3.099683e-05                    -7.387013e-05           0.175183
EMR      EMR  1.709764e-03       2.876801e-05                    -7.220368e-05           0.170976
SPG      SPG  1.700192e-03       3.516634e-05                    -8.106141e-05           0.170019
DPZ      DPZ  1.698831e-03       3.189208e-05                    -7.306445e-05           0.169883
BEN      BEN  1.692014e-03       3.282367e-05                    -7.164245e-05           0.169201
WY        WY  1.690454e-03       3.256060e-05                    -7.299191e-05           0.169045
PNW      PNW  1.685662e-03       2.228086e-05                    -7.033859e-05           0.168566
TXN      TXN  1.684411e-03       2.864443e-05                    -6.728907e-05           0.168441
CPRT    CPRT  1.681507e-03       2.687332e-05                    -7.553035e-05           0.168151
AWK      AWK  1.679269e-03       2.260504e-05                    -6.865578e-05           0.167927
ARE      ARE  1.676724e-03       2.665103e-05                    -6.956234e-05           0.167672
WST      WST  1.671100e-03       2.927536e-05                    -7.183356e-05           0.167110
DE        DE  1.659138e-03       2.931448e-05                    -7.143791e-05           0.165914
IVZ      IVZ  1.657134e-03       3.826948e-05                    -7.585347e-05           0.165713
DG        DG  1.656131e-03       3.028288e-05                    -7.911516e-05           0.165613
ETR      ETR  1.637125e-03       2.261320e-05                    -6.920766e-05           0.163712
LHX      LHX  1.636267e-03       2.598967e-05                    -6.795635e-05           0.163627
PAYX    PAYX  1.597739e-03       2.245230e-05                    -6.628574e-05           0.159774
FAST    FAST  1.585668e-03       2.658523e-05                    -6.647588e-05           0.158567
ACN      ACN  1.584443e-03       2.414185e-05                    -6.659633e-05           0.158444
GWW      GWW  1.578110e-03       2.630208e-05                    -6.532896e-05           0.157811
URI      URI  1.562401e-03       4.442610e-05                    -7.381820e-05           0.156240
ORLY    ORLY  1.553083e-03       2.485977e-05                    -7.129862e-05           0.155308
CI        CI  1.550105e-03       2.803358e-05                    -6.763854e-05           0.155010
TDG      TDG  1.546230e-03       2.995059e-05                    -7.426371e-05           0.154623
KR        KR  1.541155e-03       2.542007e-05                    -6.780100e-05           0.154116
EBAY    EBAY  1.510263e-03       2.848084e-05                    -6.415640e-05           0.151026
WMT      WMT  1.509362e-03       1.820158e-05                    -6.453213e-05           0.150936
DXCM    DXCM  1.463447e-03       4.465759e-05                    -7.165544e-05           0.146345
WM        WM  1.454021e-03       1.714583e-05                    -6.252783e-05           0.145402
PNR      PNR  1.453212e-03       2.610975e-05                    -5.895830e-05           0.145321
AOS      AOS  1.440936e-03       2.477158e-05                    -5.638496e-05           0.144094
MO        MO  1.430520e-03       1.832545e-05                    -6.028731e-05           0.143052
SYY      SYY  1.428001e-03       2.343157e-05                    -7.252341e-05           0.142800
ALB      ALB  1.424001e-03       3.613925e-05                    -6.896358e-05           0.142400
XEL      XEL  1.420123e-03       1.743209e-05                    -5.805932e-05           0.142012
BKNG    BKNG  1.418735e-03       2.941913e-05                    -6.409045e-05           0.141874
V          V  1.402288e-03       2.210362e-05                    -5.935455e-05           0.140229
FRT      FRT  1.396217e-03       2.305323e-05                    -6.049180e-05           0.139622
DIS      DIS  1.392973e-03       2.288833e-05                    -5.909226e-05           0.139297
JNPR    JNPR  1.380395e-03       2.717985e-05                    -6.216577e-05           0.138040
BWA      BWA  1.373981e-03       2.912751e-05                    -6.061070e-05           0.137398
NRG      NRG  1.367532e-03       3.033335e-05                    -6.344680e-05           0.136753
PARA    PARA  1.358903e-03       3.614362e-05                    -6.698497e-05           0.135890
