,Component_1,Component_2,Component_3,Component_4,Component_5
2015-12-23,0.4000429512112815,0.05709168878996047,0.034041395621329074,0.020457042618914578,0.014997803549425726
2015-12-24,0.40142940852251685,0.05675962839185778,0.03446438668606313,0.02018904368294439,0.01504639318199692
2015-12-28,0.4015338225147546,0.05681253225045638,0.0344959050351835,0.02014966177570607,0.014954239603208585
2015-12-29,0.4013341913939182,0.056949453810907526,0.0345522434014532,0.02015770556382054,0.014938127843169025
2015-12-30,0.4022923973501681,0.0568984343947055,0.03449445109919029,0.020127328691920077,0.014915987453613683
2015-12-31,0.4027314129535521,0.05697163515295119,0.03443077061603901,0.02011303029257824,0.014811823041950214
2016-01-04,0.4024622000677943,0.05696826206373902,0.03447772769791902,0.02011920032376479,0.014898009656803634
2016-01-05,0.4041550373772691,0.056741418097742025,0.0349183853527036,0.019985910732461434,0.014799247288083626
2016-01-06,0.40206399189063213,0.0568057758806158,0.03472062242720994,0.020090469934523833,0.01499987082046917
2016-01-07,0.40302414449896884,0.056704085573045154,0.034769615375440495,0.020080054838316434,0.014931520055134852
2016-01-08,0.40594983148051766,0.056525816060434816,0.03438568313995686,0.019908882732433023,0.014796290363881992
2016-01-11,0.4039063510272401,0.05651744650238269,0.03459334640063569,0.01996432016038892,0.01482204218864147
2016-01-12,0.4024135888471555,0.05680280537658071,0.03446254552966668,0.020541606593684415,0.014944707146248112
2016-01-13,0.40213037601348545,0.05668987625403797,0.0346601799612148,0.020530165095635336,0.0150424148676886
2016-01-14,0.406803222058295,0.05681706227031798,0.034714818625624345,0.020256401075812412,0.014879122253530398
2016-01-15,0.40801815659151347,0.05602541773548215,0.03457547203479824,0.020341290010956872,0.014788569250903922
2016-01-19,0.4102174728457532,0.05541779131308249,0.034273962673179115,0.020218229560361407,0.014807644303498397
2016-01-20,0.40782027276847327,0.056256419964799215,0.03442590659127048,0.02026646235685936,0.014844319877077908
2016-01-21,0.4081535907468249,0.05636311871756192,0.034422718822516414,0.020591381090510584,0.014719736902725064
2016-01-22,0.4070040231391538,0.056288746196539285,0.034570643703464334,0.020622114046560912,0.014662701933916333
2016-01-25,0.40888268631384217,0.055901412397394025,0.03391898806292729,0.020499026878701598,0.014613604192052931
2016-01-26,0.41096566934420325,0.05592006440391188,0.03382202772162906,0.020327494451147367,0.014650420485205042
2016-01-27,0.41220769906402027,0.05560112418330929,0.0340271431642603,0.020150063000278523,0.01449392968345111
2016-01-28,0.4111555139082011,0.05528278770702133,0.034258453895783754,0.020217192224878073,0.014409580134627417
2016-01-29,0.4072394497471999,0.05503110437510584,0.03570141219160406,0.020881895695148762,0.014188046394526515
2016-02-01,0.41349661403759946,0.054590652066609145,0.03534208835798316,0.02061809306289725,0.014016253901106888
2016-02-02,0.41133233219065846,0.0546674625075092,0.0353954320602779,0.02071824405914268,0.014086807354426642
2016-02-03,0.41284277820121634,0.05531917709567786,0.03490741895461118,0.02047146988163511,0.01387247834223057
2016-02-04,0.40974800047151566,0.05485310285540645,0.036189913433027514,0.020624473586664704,0.013878673666468954
2016-02-05,0.407961419638364,0.05570924083509066,0.03610614411891495,0.020470462522690032,0.01382601481227588
2016-02-08,0.4080048869333403,0.05556162510716669,0.0369125698648651,0.020778797084543672,0.013804303072937216
2016-02-09,0.4100692505147195,0.05317432320202522,0.0371367182986312,0.02103346721627569,0.013796285729024539
2016-02-10,0.40834028987967125,0.052684479767541224,0.03712453838022,0.02111342926583538,0.013839171343093001
2016-02-11,0.4057293049726654,0.05275975148092978,0.037537076359313915,0.021690635744731047,0.013745136339400672
2016-02-12,0.4056854351848052,0.052183408292434084,0.03718711486985668,0.021460241253827166,0.0147313632028102
2016-02-16,0.4079602935452399,0.05259117830372086,0.03703613153654905,0.021442483667527625,0.014904854382743868
2016-02-17,0.4114347234817117,0.05193749449113754,0.03692931657215676,0.021436183410699815,0.014759673979200572
2016-02-18,0.41261592101694444,0.05217970429535799,0.036669908574187386,0.02148046080307188,0.01469168787224075
2016-02-19,0.41211362428006376,0.051985762135126776,0.0368275210719466,0.021410723771444054,0.014652204743434887
2016-02-22,0.4120175745135898,0.051553885763365705,0.03717466802439296,0.02141784713107696,0.014653067925440357
2016-02-23,0.41301728437532287,0.05154127966177756,0.03697796882103667,0.021533767349035764,0.014669172702011565
2016-02-24,0.4129987092033266,0.051826765971460485,0.037018127089089005,0.021388472983859517,0.014677958491007935
2016-02-25,0.41308257474987586,0.05169641687308123,0.0369572890727749,0.021373613853146765,0.014802532744908583
2016-02-26,0.4141607092054123,0.05153234794858782,0.03686126970551671,0.021329375463402772,0.014743061960927187
2016-02-29,0.41325842746581526,0.053535955039132097,0.03667496960849651,0.02128508561243285,0.014823084743622872
2016-03-01,0.4133633154092354,0.05350537306272334,0.036725298162153155,0.021341652937995715,0.0148497764653707
2016-03-02,0.41653304619259024,0.05326864593573548,0.03631532929699393,0.02116566758483114,0.014841566832789354
2016-03-03,0.41622302620282814,0.05309171490928021,0.03633792792178248,0.02117517482535741,0.014927605873450909
2016-03-04,0.4160249074074131,0.05307841988373993,0.03639814784846292,0.021090353994944973,0.015030530822220611
2016-03-07,0.41576175052623016,0.05290740232750144,0.03646971078462206,0.021062806831622465,0.015001608229042247
